ENTITY_IDENTIFIER,Author Full Name,Author ID
906170038,Brandon Jutras,35388335400
904322732,Justin Lemkul,23035649100
905904561,Daniel Slade,55340075200
905825910,Paul Marek,8657329700
904546679,Maria Sharakhova,6701720602
906149117,Jacob Lahne,36444799100
905822556,Jayesh Samtani,15760852000
905393488,Samantha Harden,54881982400
905160743,Valisa Hedrick,36189882600
905758039,Brian Badgley,55636318418
904639570,Stella Volpe,7004347350
904525301,David McCall,57193531745
905844787,Meredith Steele,57321322600
905470454,Mizuho Nita,7003474701
905918598,Edward Gitre,13612575800
905919453,Michael Flessner,37088676400
904303387,Elizabeth Gilbert,24525125200
905846865,Michael Persia,6603076437
905918130,Song Li,58886189100
905099098,Dan Eversole,6603303930
905094414,Cynthia Wood,7403538973
905097782,Richard Helm,58938204000
906577686,Michael Gutter,24536760100
905676070,Hannah Scherer,57191955907
904603853,Michael Klemba,6602217661
905216412,Leigh Krometis,8570556500
905424429,Ryan Senger,7004149012
905842449,Venkataramana Sridhar,58938399800
905155882,Sally Paulson,7005810261
906004726,Haibo Huang,58960318600
904325741,David Kuhn,58843677300
905840574,Amanda Stewart,56386592000
905917577,Laura Strawn,36060519300
905169311,Deborah Good,57195852759
904421672,Young Ju,57205397541
905909373,Vivica Kraak,6507879761
905162240,Peter Doolittle,25924785500
904584542,Benjamin Corl,6602540982
905363742,Patrick Huber,57204302027
905578557,Samer El-Kadi,13405326700
905828863,Gonzalo Ferreira,55432193200
905675438,Michelle Rhoads,35607602500
905419659,Eva Colla'kova',6506615299
905505172,Guillaume Pilot,6701727810
905845746,Ryan Stewart,55253042700
905271297,Christina Petersson-Wolfe,16302161800
905093594,John Jelesko,6602659194
904321438,William Frame,56411846300
904471778,Theresa Thompson,57195543863
905359538,Jason Grant,13410169900
